section,in_resume,title,institution,loc,start,end,description_1,description_2,description_3
education,TRUE,BE in Civil & Environmental Engineering,Beirut Arab University,Lebanon,14-Sep,19-Jul,"AutoCAD civil, ETABS, Robot and other structure engineering software.","Design Reinforced Concrete, Steel, and Sanitation work",NA
education,TRUE,MS in Program Evaluation & Data Analytics,Arizona State University,Online,21-Jan,22-Dec,"Coding, analyzing, and visualizing using R langauge (Rstudio)",Evaluating programs/project based for research purposes,Different statistical and propability knowledge
education,TRUE,Lebanese Official Baccalaureate in Life Science,Beit Jala Secondary School,Lebanon,12-Sep,14-Jul,NA,NA,NA
research_positions,FALSE,Senior MEAL Officer,International Rescue Committee (IRC),"Lebanon, Beirut",23-Mar,Present,"Lead all Monitoring and Evaluation activities for implementing partners under the World Bank project, ensuring data quality and compliance with project objectives.","Conduct MEAL Capacity Assessments for partners and develop tailored support and capacity-building plans; provide technical support in developing partners' logframes, indicators, means of verification, and targets aligned with the World Bank results framework.","Analyze project data to generate insights that inform programmatic decisions, oversee data management systems for accuracy and timely reporting, and design partners' grievance and feedback mechanisms in line with accountability standards and donor requirements."
research_positions,FALSE,MEAL Consultant — YEED Project (Consultancy),Mentor Arabia,"Lebanon, Beirut",26-Jul,Present,"Provide technical leadership in the design, refinement, and periodic review of the YEED MEAL framework in line with donor requirements; develop and validate results frameworks, indicators, data collection tools, and performance monitoring plans.","Establish and periodically review data management systems and databases to ensure data integrity and usability; conduct periodic data quality assessments (DQAs) and verification exercises.","Analyze program data to generate strategic insights and recommendations, provide technical input into donor reports, evaluations, and key learning products, support dashboards for program oversight, strengthen FCRM, and lead or support baseline/midline/endline and special studies."
research_positions,FALSE,MEAL Consultant (Consultancy),IDRAAC,"Lebanon, Beirut",26-Jul,26-Aug,"Reviewed and updated the organization's MEAL policy and guidelines to strengthen consistency and donor compliance.","Updated the grievance mechanism and investigation process to reinforce accountability and beneficiary protection standards.","Designed and delivered a staff training on the revised MEAL policy, guidelines, and grievance/investigation procedures."
research_positions,FALSE,MEAL Officer,Action Against Hunger (ACF),"Lebanon, Beirut",21-Sep,23-Mar,"Managed casual workers, setting workplans and identifying resource needs; provided regular oral reporting, debriefing, and feedback to the MEAL Coordinator.","Collected, analyzed, and presented quantitative and qualitative data through written reports and dashboards; verified data accuracy via Quality Assurance protocols and cross-checking with other data sources.","Informed beneficiaries about their rights, project objectives, and ACF's feedback and complaints mechanisms; coded and uploaded assessments to the ACF Kobo server."
research_positions,FALSE,Senior MEAL Officer,Jafra Foundation for Relief and Youth Development,"Lebanon, Beirut",21-Jul,21-Sep,"Supported the development of M&E plans, indicator matrices, and clear data collection plans.","Led all field data collection exercises, and planned and implemented Baseline/Endline activities.","Produced analytical qualitative and quantitative reports; conducted data analysis and disseminated findings internally/externally to the program manager and leading partners."
research_positions,FALSE,MEAL Assistant,Medair,"Lebanon, Beirut",20-Oct,20-Dec,"Supported the MEAL Officer to develop M&E plans in compliance with donor and Medair standards and guidelines.","Supported design of methodologies, tools, and surveys for post-distribution monitoring (PDM) and other monitoring activities; assisted and monitored casual labor to ensure data quality.","Carried out data collection, analysis, and reporting for PDMs and other monitoring activities, and conducted regular monitoring visits to project sites providing detailed monitoring reports."
research_positions,FALSE,Monitoring & Evaluation Officer,Al Moasat (Social Relief & Welfare Association),"Lebanon, Saida",20-May,20-Sep,"Developed and refined quantitative and qualitative data collection instruments, and maintained a results database, logical framework, performance tracking, indicators, and M&E manuals.","Supported the field team in collecting and entering participant data through registration databases and surveys.",Served as the primary point person for all monitoring and evaluation related work.
industry_positions,FALSE,Project Assistant,Cesvi Foundation Onlus,"Lebanon, Beirut",19-Aug,20-Apr,"Provided administrative, logistical, and operational support for the Micro, Small and Medium Enterprises Support project, including monitoring and reporting on project plans.","Conducted field visits to ensure correct project implementation, and followed up on procurement procedures and beneficiary progress.",NA
teaching_positions,FALSE,Data Collector,Cesvi Foundation Onlus,"Lebanon, Beirut",19-May,19-Aug,"Administered vulnerability questionnaires using ODK/Kobo Collect and entered data into the Beneficiaries Tracking Tool.","Participated in assessments and data-gathering exercises, coordinating closely with the Cesvi team.",NA
data_science_writings,FALSE,Civil Engineer Inernship,MOATI Group,"Lebanon, Saida",2017,NA,Assist in managing parts of construction projects.,Assist in checking technical designs and drawings to ensure that they are followed correctly.,Monitor all construction workers during construction work and check their work.
about_me_press,FALSE,DAC evaluation,Arizona State University,NA,2019,NA,"My master project was an evaluation of a project that was already done by Action Against Hunger (AHH) a Spanish Non-Governmental Organization (NGO) that have a base in Lebanon. The project is composed of three main components: Supporting Micro, Small, and Medium Enterprises, Multi-Purpose Cash Assistance distribution assistance, and providing IYCF counseling for vulnerable pregnant or lactating women (PLW). The OECD DAC Network on Development Evaluation (EvalNet) has defined six evaluation criteria – relevance, coherence, effectiveness, efficiency, impact, and sustainability. The final evaluation will be based on the DAC evaluation, where the six criteria was analyzed to produce the final report of my project.",NA,NA
